"Sujeitos","Itens","Ant","Verbo","RT","Pos","Estudo"
"21","B","NP","PL",1608,"p7","Costa (2013)"
"22","B","NP","PL",496,"p7","Costa (2013)"
"23","B","NP","PL",528,"p7","Costa (2013)"
"24","B","NP","PL",344,"p7","Costa (2013)"
"25","B","NP","PL",304,"p7","Costa (2013)"
"26","B","NP","PL",864,"p7","Costa (2013)"
"27","B","NP","PL",616,"p7","Costa (2013)"
"28","B","NP","PL",640,"p7","Costa (2013)"
"29","B","NP","PL",528,"p7","Costa (2013)"
"30","B","NP","PL",688,"p7","Costa (2013)"
"31","B","NP","PL",512,"p7","Costa (2013)"
"32","B","NP","PL",136,"p7","Costa (2013)"
"1","C","NP","PL",824,"p7","Costa (2013)"
"2","C","NP","PL",640,"p7","Costa (2013)"
"3","C","NP","PL",816,"p7","Costa (2013)"
"4","C","NP","PL",640,"p7","Costa (2013)"
"5","C","NP","PL",432,"p7","Costa (2013)"
"6","C","NP","PL",616,"p7","Costa (2013)"
"7","C","NP","PL",208,"p7","Costa (2013)"
"8","C","NP","PL",1104,"p7","Costa (2013)"
"9","C","NP","PL",336,"p7","Costa (2013)"
"10","C","NP","PL",728,"p7","Costa (2013)"
"11","C","NP","PL",744,"p7","Costa (2013)"
"12","C","NP","PL",583,"p7","Costa (2013)"
"13","C","NP","PL",2536,"p7","Costa (2013)"
"14","C","NP","PL",1048,"p7","Costa (2013)"
"15","C","NP","PL",232,"p7","Costa (2013)"
"16","C","NP","PL",528,"p7","Costa (2013)"
"17","C","NP","PL",368,"p7","Costa (2013)"
"18","C","NP","PL",752,"p7","Costa (2013)"
"19","C","NP","PL",496,"p7","Costa (2013)"
"20","C","NP","PL",792,"p7","Costa (2013)"
"21","C","NP","PL",1528,"p7","Costa (2013)"
"22","C","NP","PL",736,"p7","Costa (2013)"
"23","C","NP","PL",976,"p7","Costa (2013)"
"24","C","NP","PL",312,"p7","Costa (2013)"
"25","C","NP","PL",248,"p7","Costa (2013)"
"26","C","NP","PL",1304,"p7","Costa (2013)"
"27","C","NP","PL",408,"p7","Costa (2013)"
"28","C","NP","PL",1400,"p7","Costa (2013)"
"29","C","NP","PL",800,"p7","Costa (2013)"
"30","C","NP","PL",368,"p7","Costa (2013)"
"31","C","NP","PL",864,"p7","Costa (2013)"
"32","C","NP","PL",144,"p7","Costa (2013)"
"1","D","NP","PL",464,"p7","Costa (2013)"
"2","D","NP","PL",360,"p7","Costa (2013)"
"3","D","NP","PL",1528,"p7","Costa (2013)"
"4","D","NP","PL",672,"p7","Costa (2013)"
"5","D","NP","PL",536,"p7","Costa (2013)"
"6","D","NP","PL",695,"p7","Costa (2013)"
"7","D","NP","PL",248,"p7","Costa (2013)"
"8","D","NP","PL",1064,"p7","Costa (2013)"
"9","D","NP","PL",368,"p7","Costa (2013)"
"10","D","NP","PL",592,"p7","Costa (2013)"
"11","D","NP","PL",744,"p7","Costa (2013)"
"12","D","NP","PL",1328,"p7","Costa (2013)"
"13","D","NP","PL",1024,"p7","Costa (2013)"
"14","D","NP","PL",400,"p7","Costa (2013)"
"15","D","NP","PL",504,"p7","Costa (2013)"
"16","D","NP","PL",352,"p7","Costa (2013)"
"17","D","NP","PL",1656,"p7","Costa (2013)"
"18","D","NP","PL",808,"p7","Costa (2013)"
"19","D","NP","PL",552,"p7","Costa (2013)"
"20","D","NP","PL",864,"p7","Costa (2013)"
"21","D","NP","PL",1864,"p7","Costa (2013)"
"22","D","NP","PL",904,"p7","Costa (2013)"
"23","D","NP","PL",808,"p7","Costa (2013)"
"24","D","NP","PL",416,"p7","Costa (2013)"
"25","D","NP","PL",280,"p7","Costa (2013)"
"26","D","NP","PL",800,"p7","Costa (2013)"
"27","D","NP","PL",488,"p7","Costa (2013)"
"28","D","NP","PL",1480,"p7","Costa (2013)"
"29","D","NP","PL",744,"p7","Costa (2013)"
"30","D","NP","PL",200,"p7","Costa (2013)"
"31","D","NP","PL",432,"p7","Costa (2013)"
"32","D","NP","PL",416,"p7","Costa (2013)"
"1","E","NP","SG",720,"p7","Costa (2013)"
"2","E","NP","SG",1312,"p7","Costa (2013)"
"3","E","NP","SG",1952,"p7","Costa (2013)"
"4","E","NP","SG",888,"p7","Costa (2013)"
"5","E","NP","SG",1951,"p7","Costa (2013)"
"6","E","NP","SG",3272,"p7","Costa (2013)"
"7","E","NP","SG",392,"p7","Costa (2013)"
"8","E","NP","SG",1584,"p7","Costa (2013)"
"9","E","NP","SG",392,"p7","Costa (2013)"
"10","E","NP","SG",400,"p7","Costa (2013)"
"11","E","NP","SG",480,"p7","Costa (2013)"
"12","E","NP","SG",560,"p7","Costa (2013)"
"13","E","NP","SG",800,"p7","Costa (2013)"
"14","E","NP","SG",336,"p7","Costa (2013)"
"15","E","NP","SG",455,"p7","Costa (2013)"
"16","E","NP","SG",992,"p7","Costa (2013)"
"17","E","NP","SG",752,"p7","Costa (2013)"
"18","E","NP","SG",616,"p7","Costa (2013)"
"19","E","NP","SG",544,"p7","Costa (2013)"
"20","E","NP","SG",792,"p7","Costa (2013)"
"21","E","NP","SG",1048,"p7","Costa (2013)"
"22","E","NP","SG",544,"p7","Costa (2013)"
"23","E","NP","SG",616,"p7","Costa (2013)"
"24","E","NP","SG",560,"p7","Costa (2013)"
"25","E","NP","SG",280,"p7","Costa (2013)"
"26","E","NP","SG",1504,"p7","Costa (2013)"
"27","E","NP","SG",432,"p7","Costa (2013)"
"28","E","NP","SG",1264,"p7","Costa (2013)"
"29","E","NP","SG",528,"p7","Costa (2013)"
"30","E","NP","SG",592,"p7","Costa (2013)"
"31","E","NP","SG",728,"p7","Costa (2013)"
"32","E","NP","SG",144,"p7","Costa (2013)"
"1","F","NP","SG",560,"p7","Costa (2013)"
"2","F","NP","SG",1879,"p7","Costa (2013)"
"3","F","NP","SG",895,"p7","Costa (2013)"
"4","F","NP","SG",504,"p7","Costa (2013)"
"5","F","NP","SG",647,"p7","Costa (2013)"
"6","F","NP","SG",1520,"p7","Costa (2013)"
"7","F","NP","SG",376,"p7","Costa (2013)"
"8","F","NP","SG",1536,"p7","Costa (2013)"
"9","F","NP","SG",504,"p7","Costa (2013)"
"10","F","NP","SG",616,"p7","Costa (2013)"
"11","F","NP","SG",1648,"p7","Costa (2013)"
"12","F","NP","SG",1144,"p7","Costa (2013)"
"13","F","NP","SG",2064,"p7","Costa (2013)"
"14","F","NP","SG",567,"p7","Costa (2013)"
"15","F","NP","SG",1560,"p7","Costa (2013)"
"16","F","NP","SG",688,"p7","Costa (2013)"
"17","F","NP","SG",1392,"p7","Costa (2013)"
"18","F","NP","SG",704,"p7","Costa (2013)"
"19","F","NP","SG",408,"p7","Costa (2013)"
"20","F","NP","SG",704,"p7","Costa (2013)"
"21","F","NP","SG",1072,"p7","Costa (2013)"
"22","F","NP","SG",616,"p7","Costa (2013)"
"23","F","NP","SG",680,"p7","Costa (2013)"
"24","F","NP","SG",376,"p7","Costa (2013)"
"25","F","NP","SG",368,"p7","Costa (2013)"
"26","F","NP","SG",720,"p7","Costa (2013)"
"27","F","NP","SG",1008,"p7","Costa (2013)"
"28","F","NP","SG",552,"p7","Costa (2013)"
"29","F","NP","SG",1808,"p7","Costa (2013)"
"30","F","NP","SG",728,"p7","Costa (2013)"
"31","F","NP","SG",696,"p7","Costa (2013)"
"32","F","NP","SG",184,"p7","Costa (2013)"
"1","G","NP","SG",512,"p7","Costa (2013)"
"2","G","NP","SG",400,"p7","Costa (2013)"
"3","G","NP","SG",1000,"p7","Costa (2013)"
"4","G","NP","SG",544,"p7","Costa (2013)"
"5","G","NP","SG",1736,"p7","Costa (2013)"
"6","G","NP","SG",583,"p7","Costa (2013)"
"7","G","NP","SG",328,"p7","Costa (2013)"
"8","G","NP","SG",1624,"p7","Costa (2013)"
"9","G","NP","SG",416,"p7","Costa (2013)"
"10","G","NP","SG",648,"p7","Costa (2013)"
"11","G","NP","SG",791,"p7","Costa (2013)"
"12","G","NP","SG",767,"p7","Costa (2013)"
"13","G","NP","SG",1456,"p7","Costa (2013)"
"14","G","NP","SG",856,"p7","Costa (2013)"
"15","G","NP","SG",280,"p7","Costa (2013)"
"16","G","NP","SG",480,"p7","Costa (2013)"
"17","G","NP","SG",3023,"p7","Costa (2013)"
"18","G","NP","SG",816,"p7","Costa (2013)"
"19","G","NP","SG",848,"p7","Costa (2013)"
"20","G","NP","SG",1248,"p7","Costa (2013)"
"21","G","NP","SG",1832,"p7","Costa (2013)"
"22","G","NP","SG",760,"p7","Costa (2013)"
"23","G","NP","SG",536,"p7","Costa (2013)"
"24","G","NP","SG",344,"p7","Costa (2013)"
"25","G","NP","SG",280,"p7","Costa (2013)"
"26","G","NP","SG",648,"p7","Costa (2013)"
"27","G","NP","SG",704,"p7","Costa (2013)"
"28","G","NP","SG",1032,"p7","Costa (2013)"
"29","G","NP","SG",1032,"p7","Costa (2013)"
"30","G","NP","SG",192,"p7","Costa (2013)"
"31","G","NP","SG",472,"p7","Costa (2013)"
"32","G","NP","SG",183,"p7","Costa (2013)"
"1","H","NP","SG",1360,"p7","Costa (2013)"
"2","H","NP","SG",3688,"p7","Costa (2013)"
"3","H","NP","SG",944,"p7","Costa (2013)"
"4","H","NP","SG",424,"p7","Costa (2013)"
"5","H","NP","SG",904,"p7","Costa (2013)"
"6","H","NP","SG",999,"p7","Costa (2013)"
"7","H","NP","SG",600,"p7","Costa (2013)"
"8","H","NP","SG",1328,"p7","Costa (2013)"
"9","H","NP","SG",448,"p7","Costa (2013)"
"10","H","NP","SG",784,"p7","Costa (2013)"
"11","H","NP","SG",432,"p7","Costa (2013)"
"12","H","NP","SG",944,"p7","Costa (2013)"
"13","H","NP","SG",672,"p7","Costa (2013)"
"14","H","NP","SG",456,"p7","Costa (2013)"
"15","H","NP","SG",423,"p7","Costa (2013)"
"16","H","NP","SG",584,"p7","Costa (2013)"
"17","H","NP","SG",888,"p7","Costa (2013)"
"18","H","NP","SG",687,"p7","Costa (2013)"
"19","H","NP","SG",1336,"p7","Costa (2013)"
"20","H","NP","SG",808,"p7","Costa (2013)"
"21","H","NP","SG",680,"p7","Costa (2013)"
"22","H","NP","SG",432,"p7","Costa (2013)"
"23","H","NP","SG",624,"p7","Costa (2013)"
"24","H","NP","SG",672,"p7","Costa (2013)"
"25","H","NP","SG",312,"p7","Costa (2013)"
"26","H","NP","SG",608,"p7","Costa (2013)"
"27","H","NP","SG",1040,"p7","Costa (2013)"
"28","H","NP","SG",760,"p7","Costa (2013)"
"29","H","NP","SG",1736,"p7","Costa (2013)"
"30","H","NP","SG",448,"p7","Costa (2013)"
"31","H","NP","SG",304,"p7","Costa (2013)"
"32","H","NP","SG",160,"p7","Costa (2013)"
"1","I","PP","PL",488,"p7","Costa (2013)"
"2","I","PP","PL",1976,"p7","Costa (2013)"
"3","I","PP","PL",504,"p7","Costa (2013)"
"4","I","PP","PL",416,"p7","Costa (2013)"
"5","I","PP","PL",640,"p7","Costa (2013)"
"6","I","PP","PL",1576,"p7","Costa (2013)"
"7","I","PP","PL",544,"p7","Costa (2013)"
"8","I","PP","PL",1136,"p7","Costa (2013)"
"9","I","PP","PL",416,"p7","Costa (2013)"
"10","I","PP","PL",368,"p7","Costa (2013)"
"11","I","PP","PL",464,"p7","Costa (2013)"
"12","I","PP","PL",824,"p7","Costa (2013)"
"13","I","PP","PL",3554,"p7","Costa (2013)"
"14","I","PP","PL",448,"p7","Costa (2013)"
"15","I","PP","PL",272,"p7","Costa (2013)"
"16","I","PP","PL",376,"p7","Costa (2013)"
"17","I","PP","PL",1496,"p7","Costa (2013)"
"18","I","PP","PL",967,"p7","Costa (2013)"
"19","I","PP","PL",432,"p7","Costa (2013)"
"20","I","PP","PL",800,"p7","Costa (2013)"
"21","I","PP","PL",2176,"p7","Costa (2013)"
"22","I","PP","PL",520,"p7","Costa (2013)"
"23","I","PP","PL",432,"p7","Costa (2013)"
"24","I","PP","PL",360,"p7","Costa (2013)"
"25","I","PP","PL",272,"p7","Costa (2013)"
"26","I","PP","PL",1120,"p7","Costa (2013)"
"27","I","PP","PL",1072,"p7","Costa (2013)"
"28","I","PP","PL",912,"p7","Costa (2013)"
"29","I","PP","PL",912,"p7","Costa (2013)"
"30","I","PP","PL",328,"p7","Costa (2013)"
"31","I","PP","PL",408,"p7","Costa (2013)"
"32","I","PP","PL",168,"p7","Costa (2013)"
"1","J","PP","PL",1400,"p7","Costa (2013)"
"2","J","PP","PL",712,"p7","Costa (2013)"
"3","J","PP","PL",1384,"p7","Costa (2013)"
"4","J","PP","PL",440,"p7","Costa (2013)"
"5","J","PP","PL",360,"p7","Costa (2013)"
"6","J","PP","PL",608,"p7","Costa (2013)"
"7","J","PP","PL",1264,"p7","Costa (2013)"
"8","J","PP","PL",872,"p7","Costa (2013)"
"9","J","PP","PL",488,"p7","Costa (2013)"
"10","J","PP","PL",1056,"p7","Costa (2013)"
"11","J","PP","PL",800,"p7","Costa (2013)"
"12","J","PP","PL",768,"p7","Costa (2013)"
"13","J","PP","PL",1608,"p7","Costa (2013)"
"14","J","PP","PL",560,"p7","Costa (2013)"
"15","J","PP","PL",640,"p7","Costa (2013)"
"16","J","PP","PL",592,"p7","Costa (2013)"
"17","J","PP","PL",1064,"p7","Costa (2013)"
"18","J","PP","PL",960,"p7","Costa (2013)"
"19","J","PP","PL",464,"p7","Costa (2013)"
"20","J","PP","PL",992,"p7","Costa (2013)"
"21","J","PP","PL",720,"p7","Costa (2013)"
"22","J","PP","PL",456,"p7","Costa (2013)"
"23","J","PP","PL",1672,"p7","Costa (2013)"
"24","J","PP","PL",376,"p7","Costa (2013)"
"25","J","PP","PL",295,"p7","Costa (2013)"
"26","J","PP","PL",728,"p7","Costa (2013)"
"27","J","PP","PL",775,"p7","Costa (2013)"
"28","J","PP","PL",880,"p7","Costa (2013)"
"29","J","PP","PL",1591,"p7","Costa (2013)"
"30","J","PP","PL",528,"p7","Costa (2013)"
"31","J","PP","PL",424,"p7","Costa (2013)"
"32","J","PP","PL",168,"p7","Costa (2013)"
"1","K","PP","PL",368,"p7","Costa (2013)"
"2","K","PP","PL",1216,"p7","Costa (2013)"
"3","K","PP","PL",1280,"p7","Costa (2013)"
"4","K","PP","PL",456,"p7","Costa (2013)"
"5","K","PP","PL",479,"p7","Costa (2013)"
"6","K","PP","PL",1016,"p7","Costa (2013)"
"7","K","PP","PL",360,"p7","Costa (2013)"
"8","K","PP","PL",1608,"p7","Costa (2013)"
"9","K","PP","PL",560,"p7","Costa (2013)"
"10","K","PP","PL",552,"p7","Costa (2013)"
"11","K","PP","PL",544,"p7","Costa (2013)"
"12","K","PP","PL",648,"p7","Costa (2013)"
"13","K","PP","PL",1024,"p7","Costa (2013)"
"14","K","PP","PL",664,"p7","Costa (2013)"
"15","K","PP","PL",1112,"p7","Costa (2013)"
"16","K","PP","PL",608,"p7","Costa (2013)"
"17","K","PP","PL",704,"p7","Costa (2013)"
"18","K","PP","PL",752,"p7","Costa (2013)"
"19","K","PP","PL",536,"p7","Costa (2013)"
"20","K","PP","PL",704,"p7","Costa (2013)"
"21","K","PP","PL",1184,"p7","Costa (2013)"
"22","K","PP","PL",528,"p7","Costa (2013)"
"23","K","PP","PL",416,"p7","Costa (2013)"
"24","K","PP","PL",336,"p7","Costa (2013)"
"25","K","PP","PL",336,"p7","Costa (2013)"
"26","K","PP","PL",536,"p7","Costa (2013)"
"27","K","PP","PL",607,"p7","Costa (2013)"
"28","K","PP","PL",616,"p7","Costa (2013)"
"29","K","PP","PL",736,"p7","Costa (2013)"
"30","K","PP","PL",304,"p7","Costa (2013)"
"31","K","PP","PL",560,"p7","Costa (2013)"
"32","K","PP","PL",160,"p7","Costa (2013)"
"1","L","PP","PL",440,"p7","Costa (2013)"
"2","L","PP","PL",1584,"p7","Costa (2013)"
"3","L","PP","PL",632,"p7","Costa (2013)"
"4","L","PP","PL",488,"p7","Costa (2013)"
"5","L","PP","PL",520,"p7","Costa (2013)"
"6","L","PP","PL",816,"p7","Costa (2013)"
"7","L","PP","PL",472,"p7","Costa (2013)"
"8","L","PP","PL",976,"p7","Costa (2013)"
"9","L","PP","PL",1312,"p7","Costa (2013)"
"10","L","PP","PL",792,"p7","Costa (2013)"
"11","L","PP","PL",1000,"p7","Costa (2013)"
"12","L","PP","PL",536,"p7","Costa (2013)"
"13","L","PP","PL",904,"p7","Costa (2013)"
"14","L","PP","PL",560,"p7","Costa (2013)"
"15","L","PP","PL",504,"p7","Costa (2013)"
"16","L","PP","PL",448,"p7","Costa (2013)"
"17","L","PP","PL",1768,"p7","Costa (2013)"
"18","L","PP","PL",752,"p7","Costa (2013)"
"19","L","PP","PL",567,"p7","Costa (2013)"
"20","L","PP","PL",712,"p7","Costa (2013)"
"21","L","PP","PL",496,"p7","Costa (2013)"
"22","L","PP","PL",528,"p7","Costa (2013)"
"23","L","PP","PL",656,"p7","Costa (2013)"
"24","L","PP","PL",344,"p7","Costa (2013)"
"25","L","PP","PL",368,"p7","Costa (2013)"
"26","L","PP","PL",688,"p7","Costa (2013)"
"27","L","PP","PL",448,"p7","Costa (2013)"
"28","L","PP","PL",440,"p7","Costa (2013)"
"29","L","PP","PL",536,"p7","Costa (2013)"
"30","L","PP","PL",600,"p7","Costa (2013)"
"31","L","PP","PL",352,"p7","Costa (2013)"
"32","L","PP","PL",168,"p7","Costa (2013)"
"1","M","PP","SG",752,"p7","Costa (2013)"
"2","M","PP","SG",672,"p7","Costa (2013)"
"3","M","PP","SG",1240,"p7","Costa (2013)"
"4","M","PP","SG",471,"p7","Costa (2013)"
"5","M","PP","SG",2712,"p7","Costa (2013)"
"6","M","PP","SG",576,"p7","Costa (2013)"
"7","M","PP","SG",616,"p7","Costa (2013)"
"8","M","PP","SG",1184,"p7","Costa (2013)"
"9","M","PP","SG",568,"p7","Costa (2013)"
"10","M","PP","SG",912,"p7","Costa (2013)"
"11","M","PP","SG",528,"p7","Costa (2013)"
"12","M","PP","SG",776,"p7","Costa (2013)"
"13","M","PP","SG",2248,"p7","Costa (2013)"
"14","M","PP","SG",544,"p7","Costa (2013)"
"15","M","PP","SG",248,"p7","Costa (2013)"
"16","M","PP","SG",496,"p7","Costa (2013)"
"17","M","PP","SG",432,"p7","Costa (2013)"
"18","M","PP","SG",744,"p7","Costa (2013)"
"19","M","PP","SG",567,"p7","Costa (2013)"
"20","M","PP","SG",816,"p7","Costa (2013)"
"21","M","PP","SG",1616,"p7","Costa (2013)"
"22","M","PP","SG",528,"p7","Costa (2013)"
"23","M","PP","SG",768,"p7","Costa (2013)"
"24","M","PP","SG",415,"p7","Costa (2013)"
"25","M","PP","SG",256,"p7","Costa (2013)"
"26","M","PP","SG",728,"p7","Costa (2013)"
"27","M","PP","SG",816,"p7","Costa (2013)"
"28","M","PP","SG",616,"p7","Costa (2013)"
"29","M","PP","SG",800,"p7","Costa (2013)"
"30","M","PP","SG",200,"p7","Costa (2013)"
"31","M","PP","SG",424,"p7","Costa (2013)"
"32","M","PP","SG",288,"p7","Costa (2013)"
"1","N","PP","SG",320,"p7","Costa (2013)"
"2","N","PP","SG",928,"p7","Costa (2013)"
"3","N","PP","SG",1048,"p7","Costa (2013)"
"4","N","PP","SG",496,"p7","Costa (2013)"
"5","N","PP","SG",320,"p7","Costa (2013)"
"6","N","PP","SG",648,"p7","Costa (2013)"
"7","N","PP","SG",224,"p7","Costa (2013)"
"8","N","PP","SG",1000,"p7","Costa (2013)"
"9","N","PP","SG",360,"p7","Costa (2013)"
"10","N","PP","SG",680,"p7","Costa (2013)"
"11","N","PP","SG",384,"p7","Costa (2013)"
"12","N","PP","SG",616,"p7","Costa (2013)"
"13","N","PP","SG",864,"p7","Costa (2013)"
"14","N","PP","SG",487,"p7","Costa (2013)"
"15","N","PP","SG",392,"p7","Costa (2013)"
"16","N","PP","SG",560,"p7","Costa (2013)"
"17","N","PP","SG",1024,"p7","Costa (2013)"
"18","N","PP","SG",608,"p7","Costa (2013)"
"19","N","PP","SG",424,"p7","Costa (2013)"
"20","N","PP","SG",560,"p7","Costa (2013)"
"21","N","PP","SG",832,"p7","Costa (2013)"
"22","N","PP","SG",456,"p7","Costa (2013)"
"23","N","PP","SG",496,"p7","Costa (2013)"
"24","N","PP","SG",392,"p7","Costa (2013)"
"25","N","PP","SG",328,"p7","Costa (2013)"
"26","N","PP","SG",959,"p7","Costa (2013)"
"27","N","PP","SG",392,"p7","Costa (2013)"
"28","N","PP","SG",808,"p7","Costa (2013)"
"29","N","PP","SG",424,"p7","Costa (2013)"
"30","N","PP","SG",392,"p7","Costa (2013)"
"31","N","PP","SG",344,"p7","Costa (2013)"
"32","N","PP","SG",168,"p7","Costa (2013)"
"1","O","PP","SG",344,"p7","Costa (2013)"
"2","O","PP","SG",336,"p7","Costa (2013)"
"3","O","PP","SG",744,"p7","Costa (2013)"
"4","O","PP","SG",400,"p7","Costa (2013)"
"5","O","PP","SG",456,"p7","Costa (2013)"
"6","O","PP","SG",672,"p7","Costa (2013)"
"7","O","PP","SG",240,"p7","Costa (2013)"
"8","O","PP","SG",1448,"p7","Costa (2013)"
"9","O","PP","SG",352,"p7","Costa (2013)"
"10","O","PP","SG",583,"p7","Costa (2013)"
"11","O","PP","SG",416,"p7","Costa (2013)"
"12","O","PP","SG",504,"p7","Costa (2013)"
"13","O","PP","SG",640,"p7","Costa (2013)"
"14","O","PP","SG",408,"p7","Costa (2013)"
"15","O","PP","SG",344,"p7","Costa (2013)"
"16","O","PP","SG",447,"p7","Costa (2013)"
"17","O","PP","SG",2151,"p7","Costa (2013)"
"18","O","PP","SG",512,"p7","Costa (2013)"
"19","O","PP","SG",672,"p7","Costa (2013)"
"20","O","PP","SG",960,"p7","Costa (2013)"
"21","O","PP","SG",896,"p7","Costa (2013)"
"22","O","PP","SG",568,"p7","Costa (2013)"
"23","O","PP","SG",448,"p7","Costa (2013)"
"24","O","PP","SG",512,"p7","Costa (2013)"
"25","O","PP","SG",319,"p7","Costa (2013)"
"26","O","PP","SG",647,"p7","Costa (2013)"
"27","O","PP","SG",376,"p7","Costa (2013)"
"28","O","PP","SG",856,"p7","Costa (2013)"
"29","O","PP","SG",536,"p7","Costa (2013)"
"30","O","PP","SG",360,"p7","Costa (2013)"
"31","O","PP","SG",376,"p7","Costa (2013)"
"32","O","PP","SG",184,"p7","Costa (2013)"
"1","P","PP","SG",240,"p7","Costa (2013)"
"2","P","PP","SG",687,"p7","Costa (2013)"
"3","P","PP","SG",1456,"p7","Costa (2013)"
"4","P","PP","SG",472,"p7","Costa (2013)"
"5","P","PP","SG",952,"p7","Costa (2013)"
"6","P","PP","SG",1280,"p7","Costa (2013)"
"7","P","PP","SG",224,"p7","Costa (2013)"
"8","P","PP","SG",1720,"p7","Costa (2013)"
"9","P","PP","SG",288,"p7","Costa (2013)"
"10","P","PP","SG",503,"p7","Costa (2013)"
"11","P","PP","SG",343,"p7","Costa (2013)"
"12","P","PP","SG",1112,"p7","Costa (2013)"
"13","P","PP","SG",752,"p7","Costa (2013)"
"14","P","PP","SG",504,"p7","Costa (2013)"
"15","P","PP","SG",639,"p7","Costa (2013)"
"16","P","PP","SG",672,"p7","Costa (2013)"
"17","P","PP","SG",2592,"p7","Costa (2013)"
"18","P","PP","SG",616,"p7","Costa (2013)"
"19","P","PP","SG",472,"p7","Costa (2013)"
"20","P","PP","SG",752,"p7","Costa (2013)"
"21","P","PP","SG",1616,"p7","Costa (2013)"
"22","P","PP","SG",472,"p7","Costa (2013)"
"23","P","PP","SG",416,"p7","Costa (2013)"
"24","P","PP","SG",480,"p7","Costa (2013)"
"25","P","PP","SG",360,"p7","Costa (2013)"
"26","P","PP","SG",624,"p7","Costa (2013)"
"27","P","PP","SG",1447,"p7","Costa (2013)"
"28","P","PP","SG",728,"p7","Costa (2013)"
"29","P","PP","SG",552,"p7","Costa (2013)"
"30","P","PP","SG",368,"p7","Costa (2013)"
"31","P","PP","SG",584,"p7","Costa (2013)"
"32","P","PP","SG",168,"p7","Costa (2013)"
"1651720975","Letícia viu as serras que troveja diariamente.","NP","SG",1312,"7","Beraldo (2022)"
"1651720975","Ricardo pensou nos vales que nevam repetidamente.","PP","PL",570,"7","Beraldo (2022)"
"1651720975","Nilton ficou nas planícies que venta loucamente.","PP","SG",972,"7","Beraldo (2022)"
"1651720975","Maria conheceu as regiões que ventam repentinamente.","NP","PL",2644,"7","Beraldo (2022)"
"1651720975","Paulo visitou as nações que nevam excessivamente.","NP","PL",626,"7","Beraldo (2022)"
"1651720975","Amanda olhou as colinas que venta rigorosamente.","NP","SG",1227,"7","Beraldo (2022)"
"1651720975","André correu nas praias que chovem frequentemente.","PP","PL",1050,"7","Beraldo (2022)"
"1651720975","Gustavo caminhou nas ilhas que chove continuamente.","PP","SG",898,"7","Beraldo (2022)"
"1651720975","Sandra morou nas cidades que neva moderadamente.","PP","SG",1938,"7","Beraldo (2022)"
"1651720975","Roberto brincou nos desertos que ventam intensamente.","PP","PL",725,"7","Beraldo (2022)"
